Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / Georgia,Price / Georgia,Compare At Price / Georgia,Included / International,Price / International,Compare At Price / International,Status
r_k-cashdesk,r_k CashDesk,"The point of sale provides quality service to guests and controls all actions of the staff.<br><br>installation place: restaurant, cafe, fast food, retail.",r_keeper,Software,CashDesk,r_keeper,true,Title,Default Title,,,,,2,0.0,,deny,manual,1200.00,,false,true,"",https://cdn.shopify.com/s/files/1/0749/0007/8888/files/300_024_68327aaf-a31f-4ac6-9603-df8d7b265891.png?v=1685284965,1,"",false,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
r_k-manager,r_k Manager,"The manager's station allows you to quickly set up a cash register for serving guests, manage staff access to cash operations and receive reports on key restaurant performance indicators.",r_keeper,,Manager,r_keeper,true,Title,Default Title,,,,,1,0.0,,deny,manual,1300.00,,false,true,"",https://cdn.shopify.com/s/files/1/0749/0007/8888/files/300_024.png?v=1685104166,1,"",false,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
